date,R_H,Precipitation,Eto,HK4004U,HK4256U,Infiltration(l/min)
9/4/2018,89,0,1.71,19.595,26.245,0
9/5/2018,83,0,1.8,19.57,26.21,0
9/6/2018,87,0,2.29,19.56,26.19,0
9/7/2018,78,14.9,1.92,19.55,26.19,0
9/8/2018,85,9.1,1.9,19.78,26.27,0
9/9/2018,73,12.9,1.3,19.77,26.39,0
9/10/2018,89,5.7,1.73,19.81,26.4,0
9/11/2018,77,18.2,1.41,19.81,26.4,0
9/12/2018,69,2.4,2.39,19.85,26.41,0
9/13/2018,76,6,1.89,19.81,26.41,0
9/14/2018,80,13.2,1.35,19.81,26.4,0
9/15/2018,86,1.3,2.31,19.87,26.45,0
9/16/2018,62,7.6,1.62,19.81,26.49,0
9/17/2018,95,0.3,1.9,19.84,26.53,0
9/18/2018,92,0,3.7,19.8,26.52,0
9/19/2018,93,3.1,1.7,19.77,26.5,0
9/20/2018,83,3.9,1.81,19.75,26.48,0
9/21/2018,93,4.9,2.06,19.77,26.5,0
9/22/2018,72,4,2.39,19.77,26.5,0
9/23/2018,66,1.1,2.18,19.77,26.5,0
9/24/2018,52,0,1.82,19.75,26.48,0
9/25/2018,48,0.4,1.98,19.72,26.42,0
9/26/2018,77,1.3,1.4,19.74,26.49,0
9/27/2018,72,0.2,1.59,19.71,26.48,0
9/28/2018,61,0,1.98,19.7,26.43,0
9/29/2018,45,1.4,1.26,19.68,26.44,0
9/30/2018,67,1,1.71,19.69,26.43,0
10/1/2018,77,1.8,0.92,19.67,26.42,0
10/2/2018,64,10.4,0.97,19.73,26.45,0
10/3/2018,85,0,1.42,19.77,26.41,0
10/4/2018,55,2.9,1.04,19.74,26.42,0
10/5/2018,92,2.8,1.07,19.76,26.46,0
10/6/2018,91,3.3,0.67,19.77,26.49,0
10/7/2018,80,3.9,0.85,19.78,26.5,0
10/8/2018,72,10.1,0.93,19.78,26.58,0
10/9/2018,89,0,0.93,19.84,26.62,0
10/10/2018,85,0,0.8,19.79,26.55,0
10/11/2018,89,0,1.43,19.76,26.56,0
10/12/2018,77,0,1.63,19.74,26.55,0
10/13/2018,90,0,1.44,19.72,26.56,0
10/14/2018,86,0,2.52,19.72,26.56,0
10/15/2018,84,0.4,1.13,19.7,26.55,0
