date,R_H,Precipitation,ET,GW1428A,GW1430,GW285,HK4003U,HK4004U,HK4012H,HK4013H,HK4014H,HK4101U,HK4102U,HK4115U,HK4206U,HK4226B,HK4256U,HK4258U,HK4262U,HK4302H,SGU903074482,SGU909128423,SGU912799781,SGU912799806,SGU912799815,SGU912799853
7/12/2014,57,3.7,2.311069292,,,,,,,,,,,,,,,,,,,,,,,
7/13/2014,80,5.5,1.003075371,,,,,,,,,,,,,,,,,,,,,,,
7/14/2014,90,0,1.536110847,,,,,,,,,,,,,,,,,,,,,,,
7/15/2014,77,2.8,1.378046148,,,,,,,,,,,,,,,,,,,,,,,
7/16/2014,76,0,2.217789322,,,,,,,,,,,,,,,,,,,,,,,
7/17/2014,80,0,1.88653632,,,,,,,,,,,,,,,,,,,,,,,
7/18/2014,86,0,1.934207805,,,,,,,,,,,,,,,,,,,,,,,
7/19/2014,79,0,2.132652846,,,,,,,,,,,,,,,,,,,,,,,
7/20/2014,79,0,2.778100502,,,,,,,,,,,,,,,,,,,,,,,
7/21/2014,67,0,2.869805411,,,,,,,,,,,,,,,,,,,,,,,
7/22/2014,67,0,2.400737651,,,,,,,,,,,,,,,,,,,,,,,
7/23/2014,78,0,2.875355259,,,,,,,,,,,,,,,,,,,,,,,
7/24/2014,67,0,2.914613114,,,,,,,,,,,,,,,,,,,,,,,
7/25/2014,87,0.4,2.725181152,,,,,,,,,,,,,,,,,,,,,,,
7/26/2014,86,7.1,2.522626119,,,,,,,,,,,,,,,,,,,,,,,
7/27/2014,83,0,2.290346974,,,,,,,,,,,,,,,,,,,,,,,
7/28/2014,86,0,2.352472092,,,,,,,,,,,,,,,,,,,,,,,
7/29/2014,84,0,2.585408429,,,,,,,,,,,,,,,,,,,,,,,
7/30/2014,75,0,2.445833056,,,,,,,,,,,,,,,,,,,,,,,
7/31/2014,77,0.2,2.276781878,,,,,,,,,,,,,,,,,,,,,,,
8/1/2014,77,0,2.41802381,,,,,,,,,,,,,,,,,,,,,,,
8/2/2014,86,0.3,3.14921931,,,,,,,,,,,,,,,,,,,,,,,
8/3/2014,84,11.1,2.022937981,,,,,,,,,,,,,,,,,,,,,,,
8/4/2014,95,2.4,1.552966804,,,,,,,,,,,,,,,,,,,,,,,
8/5/2014,85,0,1.872150163,,,,,,,,,,,,,,,,,,,,,,,
8/6/2014,73,0,2.336221776,,16.5,,17.75,19.44,26.957763,23.3457684,2.445458,45.56,43.96,,,,,,,,,,,,,
8/7/2014,84,9.5,2.145559378,,,,,,,,,,,,,,,,,,,,,,,
8/8/2014,83,0,2.212505461,,,,,,,,,,,,,,,,,,,,,,,
8/9/2014,87,7.1,2.045351729,,,,,,,,,,,,,,,,,,,,,,,
8/10/2014,76,18.4,2.539132229,,,,,,,,,,,,,,,,,,,,,,,
8/11/2014,76,2.8,2.460348964,,,,,,,,,,,,,,,,,,,,,,,
8/12/2014,72,0.9,2.021228388,,,,,,,,,,,,,,,,,,,,,,,
8/13/2014,76,11.1,1.277693727,,,,,,,,,,,,,,,,,,,,,,,
8/14/2014,81,1.8,1.971469237,,,,,,,,,,,,,,,,,,,,,,,
8/15/2014,89,0,2.056777401,,,,,,,,,,,,,,,,,,,,,,,
8/16/2014,81,4.4,1.895573077,,,,,,,,,,,,,,,,,,,,,,,
8/17/2014,83,9.9,1.163321735,,,,,,,,,,,,,,,,,,,,,,,
8/18/2014,81,5,1.948819948,,,,,,,,,,,,,,,,,,,,,,,
8/19/2014,86,18.2,1.279508414,,,,,,,,,,,,,,,,,,,,,,,
8/20/2014,87,0,1.938776638,,,,,,,,,,,,,,,,,,,,,,,
8/21/2014,81,2.2,2.330906232,,,,,,,,,,,,,,,,,,,,,,,
8/22/2014,81,8.3,1.418579808,,,,,,,,,,,,,,,,,,,,,,,
8/23/2014,85,1.2,1.776031525,,,,,,,,,,,,,,,,,,,,,,,
8/24/2014,81,6.2,1.533844642,,,,,,,,,,,,,,,,,,,,,,,
8/25/2014,73,4.1,1.591193736,,,,,,,,,,,,,,,,,,,,,,,
8/26/2014,87,2,1.934300548,,,,,,,,,,,,,,,,,,,,,,,
8/27/2014,85,0,2.700375482,,,,,,,,,,,,,,,,,,,,,,,
8/28/2014,87,0,2.297438389,,,,,,,,,,,,,,,,,,,,,,,
8/29/2014,87,2.7,1.887798181,,,,,,,,,,,,,,,,,,,,,,,
8/30/2014,89,10.4,1.192406489,,,,,,,,,,,,,,,,,,,,,,,
8/31/2014,93,2.2,1.51152129,,,,,,,,,,,,,,,,,,,,,,,
9/1/2014,81,0,2.52711724,,,,,,,,,,,,,,,,,,,,,,,
9/2/2014,87,0,2.647805584,,,,,,,,,,,,,,,,,,,,,,,
9/3/2014,77,0,2.898903397,,,,,,,,,,,,,,,,,,,,,,,
9/4/2014,90,0,2.921913094,,,,,,,,,,,,,,,,,,,,,,,
9/5/2014,84,0,2.745235487,,,,17.87,19.6,27.24678538,,21.75769795,,44.21,,,,,,,,,,,,,
9/6/2014,79,0,3.047539101,,,,,,,,,,,,,,,,,,,,,,,
9/7/2014,76,8.7,2.137858997,,,,,,,,,,,,,,,,,,,,,,,
9/8/2014,94,11.2,2.120622187,,,,,,,,,,,,,,,,,,,,,,,
9/9/2014,85,0.2,1.880395447,,,,,,,,,,,,,,,,,,,,,,,
9/10/2014,90,0,2.368176844,,,,,,,,,,,,,,,,,,,,,,,
9/11/2014,88,0,2.582321256,,,,,,,,,,,,,,,,,,,,,,,
9/12/2014,94,0,2.846412622,,,,,,,,,,,,,,,,,,,,,,,
9/13/2014,91,0,2.265236956,,,,,,,,,,,,,,,,,,,,,,,
9/14/2014,85,0,2.783732563,,,,,,,,,,,,,,,,,,,,,,,
9/15/2014,84,0,3.414753057,,,,,,,,,,,,,,,,,,,,,,,
9/16/2014,77,0,3.024755943,,,,,,,,,,,,,,,,,,,,,,,
9/17/2014,78,0,2.626690715,,,,,,,,,,,,,,,,,,,,,,,
9/18/2014,83,0,2.86701916,,,,,,,,,,,,,,,,,,,,,,,
9/19/2014,82,0,3.054448264,,,,,,,,,,,,,,,,,,,,,,,
9/20/2014,89,0,2.914566504,,,,,,,,,,,,,,,,,,,,,,,
9/21/2014,88,2.3,1.881354227,,,,,,,,,,,,,,,,,,,,,,,
9/22/2014,70,0,2.588874494,,,,,,,,,,,,,,,,,,,,,,,
9/23/2014,57,6,1.849970636,,,,,,,,,,,,,,,,,,,,,,,
9/24/2014,91,4.9,1.139926757,,,,,,,,,,,,,,,,,,,,,,,
9/25/2014,82,0.7,2.452493188,,,,,,,,,,,,,,,,,,,,,,,
9/26/2014,94,2.1,2.023622014,,,,,,,,,,,,,,,,,,,,,,,
9/27/2014,67,0,2.695543541,,,,,,,,,,,,,,,,,,,,,,,
9/28/2014,83,0.1,1.773904644,,,,,,,,,,,,,,,,,,,,,,,
9/29/2014,92,0,2.698224219,,,,,,,,,,,,,,,,,,,,,,,
9/30/2014,90,0,3.015182378,,,,,,,,,,,,,,,,,,,,,,,
10/1/2014,75,1.8,1.81494136,,17.5,,,,,,,,,,,,,,,,,,,,,
10/2/2014,95,0.3,2.593284704,,,,,,,,,,,,,,,,,,,,,,,
10/3/2014,91,0,1.903840317,,,,,,,,,,,,,,,,,,,,,,,
10/4/2014,97,0,2.652698679,,,,,,,,,,,,,,,,,,,,,,,
10/5/2014,81,0,2.99961827,,,,,,,,,,,,,,,,,,,,,,,
10/6/2014,82,0,2.664398823,,,,,,,,,,,,,,,,,,,,,,,
10/7/2014,77,7.1,1.588091331,,,,,,,,,,,,,,,,,,,,,,,
10/8/2014,83,0.6,2.043326989,,,,17.82,19.62,27.9223725,23.23231373,2.86498996,,44.2,,,,,,,,,,,,,
10/9/2014,88,0.1,1.752251928,,,,,,,,,,,,,,,,,,,,,,,
10/10/2014,87,4.9,1.905446804,,,,,,,,,,,,,,,,,,,,,,,
10/11/2014,90,11.7,1.97637643,,,,,,,,,,,,,,,,,,,,,,,
10/12/2014,89,0.4,1.986655916,,,,,,,,,,,,,,,,,,,,,,,
10/13/2014,80,0,1.440618417,,,,,,,,,,,,,,,,,,,,,,,
10/14/2014,91,0.7,1.561440405,,,,,,,,,,,,,,,,,,,,,,,
10/15/2014,89,46.8,1.154125274,,,,,,,,,,,,,,,,,,,,,,,
10/16/2014,93,12,1.291968261,,,,,,,,,,,,,,,,,,,,,,,
10/17/2014,89,1.9,1.516108487,,,,,,,,,,,,,,,,,,,,,,,
10/18/2014,90,13.2,1.228131867,,,,,,,,,,,,,,,,,,,,,,,
10/19/2014,96,10.7,1.256002355,,,,,,,,,,,,,,,,,,,,,,,
10/20/2014,55,0.1,1.476454096,,,,,,,,,,,,,,,,,,,,,,,
10/21/2014,43,1.6,1.363422669,,,,,,,,,,,,,,,,,,,,,,,
10/22/2014,100,0.2,1.415943061,,,,,,,,,,,,,,,,,,,,,,,
10/23/2014,90,4,1.206753324,,,,,,,,,,,,,,,,,,,,,,,
10/24/2014,100,38.2,1.109158463,,,,,,,,,,,,,,,,,,,,,,,
10/25/2014,100,3.2,1.240953375,,,,,,,,,,,,,,,,,,,,,,,
10/26/2014,93,0.7,1.445476143,,,,,,,,,,,,,,,,,,,,,,,
10/27/2014,87,2.1,1.586114026,,,,,,,,,,,,,,,,,,,,,,,
10/28/2014,97,2.2,1.758350847,,,,,,,,,,,,,,,,,,,,,,,
10/29/2014,86,0.2,1.944970957,,,,,,,,,,,,,,,,,,,,,,,
10/30/2014,67,0.3,1.957684802,,,,,,,,,,,,,,,,,,,,,,,
10/31/2014,74,1.5,1.334661728,,,,,,,,,,,,,,,,,,,,,,,
11/1/2014,97,2.4,1.478252321,,,,,,,,,,,,,,,,,,,,,,,
11/2/2014,100,0.1,1.761222206,,,,,,,,,,,,,,,,,,,,,,,
11/3/2014,89,19.6,1.501586023,,,,,,,,,,,,,,,,,,,,,,,
11/4/2014,87,9.3,1.42368645,,,,,,,,,,,,,,,,,,,,,,,
11/5/2014,81,4.4,1.194188567,,,,,,,,,,,,,,,,,,,,,,,
11/6/2014,89,0.6,1.012225444,,,,,,,,,,,,,,,,,,,,,,,
