Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
52_2;Kungsbacka_2;1970-08-13 00:00:00;214.00;51.99;0.99;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-08-21 00:00:00;192.00;52.21;0.77;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-09-09 00:00:00;221.00;51.92;1.06;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-09-16 00:00:00;170.00;52.43;0.55;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-09-23 00:00:00;176.00;52.37;0.61;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-09-30 00:00:00;188.00;52.25;0.73;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-10-07 00:00:00;154.00;52.59;0.39;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-10-14 00:00:00;171.00;52.42;0.56;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-10-21 00:00:00;169.00;52.44;0.54;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
52_2;Kungsbacka_2;1970-10-29 00:00:00;158.00;52.55;0.43;1970-08-13;;morän;jord , öppet magasin;inströmningsområde;54.13;1.15;6.95;klucklod;1481;;6383838;321755;enstaka avvikelser från naturliga tidsvariationer, t.ex. ibland torrt eller fruset rör
