Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CON_UCTIVITY;relative level
43356,50;2018-09-13;12:00:00;2018-09-13 12:00;0;7,303;6,7;352;0
43356,54;2018-09-13;13:00:00;2018-09-13 13:00;0;7,314;6,7;350;0,011
43356,58;2018-09-13;14:00:00;2018-09-13 14:00;0;7,305;6,7;349;0,002
43356,63;2018-09-13;15:00:00;2018-09-13 15:00;0;7,299;6,6;348;-0,004
43356,67;2018-09-13;16:00:00;2018-09-13 16:00;0;7,315;6,7;347;0,012
43356,71;2018-09-13;17:00:00;2018-09-13 17:00;0;7,298;6,6;347;-0,005
43356,75;2018-09-13;18:00:00;2018-09-13 18:00;0;7,291;6,6;346;-0,012
43356,79;2018-09-13;19:00:00;2018-09-13 19:00;0;7,312;6,6;346;0,009
43356,83;2018-09-13;20:00:00;2018-09-13 20:00;0;7,317;6,6;346;0,014
43356,88;2018-09-13;21:00:00;2018-09-13 21:00;0;7,301;6,6;345;-0,002
43356,92;2018-09-13;22:00:00;2018-09-13 22:00;0;7,292;6,6;346;-0,011
43356,96;2018-09-13;23:00:00;2018-09-13 23:00;0;7,299;6,6;346;-0,004
43357,00;2018-09-14;00:00:00;2018-09-14 00:00;0;7,301;6,6;346;-0,002
43357,04;2018-09-14;01:00:00;2018-09-14 01:00;0;7,304;6,6;347;0,001
43357,08;2018-09-14;02:00:00;2018-09-14 02:00;0;7,313;6,6;347;0,01
43357,13;2018-09-14;03:00:00;2018-09-14 03:00;0;7,299;6,6;347;-0,004
43357,17;2018-09-14;04:00:00;2018-09-14 04:00;0;7,314;6,6;347;0,011
43357,21;2018-09-14;05:00:00;2018-09-14 05:00;0;7,309;6,6;348;0,006
43357,25;2018-09-14;06:00:00;2018-09-14 06:00;0;7,311;6,6;347;0,008
43357,29;2018-09-14;07:00:00;2018-09-14 07:00;0;7,295;6,6;348;-0,008
43357,33;2018-09-14;08:00:00;2018-09-14 08:00;0;7,3;6,6;348;-0,003
43357,38;2018-09-14;09:00:00;2018-09-14 09:00;0;7,316;6,6;348;0,013
43357,42;2018-09-14;10:00:00;2018-09-14 10:00;0;7,314;6,6;348;0,011
43357,46;2018-09-14;11:00:00;2018-09-14 11:00;0;7,299;6,6;348;-0,004
43357,50;2018-09-14;12:00:00;2018-09-14 12:00;0;7,298;6,6;348;-0,005
43357,54;2018-09-14;13:00:00;2018-09-14 13:00;0;7,316;6,6;348;0,013
43357,58;2018-09-14;14:00:00;2018-09-14 14:00;0;7,313;6,6;348;0,01
43357,63;2018-09-14;15:00:00;2018-09-14 15:00;0;7,31;6,6;348;0,007
43357,67;2018-09-14;16:00:00;2018-09-14 16:00;0;7,301;6,6;348;-0,002
43357,71;2018-09-14;17:00:00;2018-09-14 17:00;0;7,306;6,6;348;0,003
43357,75;2018-09-14;18:00:00;2018-09-14 18:00;0;7,316;6,6;348;0,013
43357,79;2018-09-14;19:00:00;2018-09-14 19:00;0;7,323;6,6;349;0,02
43357,83;2018-09-14;20:00:00;2018-09-14 20:00;0;7,319;6,6;348;0,016
43357,88;2018-09-14;21:00:00;2018-09-14 21:00;0;7,323;6,6;348;0,02
43357,92;2018-09-14;22:00:00;2018-09-14 22:00;0;7,309;6,6;348;0,006
43357,96;2018-09-14;23:00:00;2018-09-14 23:00;0;7,324;6,6;348;0,021
43358,00;2018-09-15;00:00:00;2018-09-15 00:00;0;7,328;6,6;348;0,025
43358,04;2018-09-15;01:00:00;2018-09-15 01:00;0;7,313;6,6;348;0,01
43358,08;2018-09-15;02:00:00;2018-09-15 02:00;0;7,332;6,6;348;0,029
43358,13;2018-09-15;03:00:00;2018-09-15 03:00;0;7,317;6,6;348;0,014
43358,17;2018-09-15;04:00:00;2018-09-15 04:00;0;7,33;6,6;348;0,027
43358,21;2018-09-15;05:00:00;2018-09-15 05:00;0;7,336;6,6;348;0,033
43358,25;2018-09-15;06:00:00;2018-09-15 06:00;0;7,293;6,6;348;-0,01
43358,29;2018-09-15;07:00:00;2018-09-15 07:00;0;7,305;6,6;348;0,002
43358,33;2018-09-15;08:00:00;2018-09-15 08:00;0;7,34;6,6;348;0,037
43358,38;2018-09-15;09:00:00;2018-09-15 09:00;0;7,33;6,6;348;0,027
43358,42;2018-09-15;10:00:00;2018-09-15 10:00;0;7,329;6,6;348;0,026
43358,46;2018-09-15;11:00:00;2018-09-15 11:00;0;7,325;6,6;348;0,022
43358,50;2018-09-15;12:00:00;2018-09-15 12:00;0;7,335;6,6;349;0,032
43358,54;2018-09-15;13:00:00;2018-09-15 13:00;0;7,315;6,6;348;0,012
43358,58;2018-09-15;14:00:00;2018-09-15 14:00;0;7,334;6,6;348;0,031
43358,63;2018-09-15;15:00:00;2018-09-15 15:00;0;7,323;6,6;348;0,02
43358,67;2018-09-15;16:00:00;2018-09-15 16:00;0;7,33;6,6;348;0,027
43358,71;2018-09-15;17:00:00;2018-09-15 17:00;0;7,342;6,6;349;0,039
43358,75;2018-09-15;18:00:00;2018-09-15 18:00;0;7,346;6,6;349;0,043
43358,79;2018-09-15;19:00:00;2018-09-15 19:00;0;7,322;6,6;349;0,019
43358,83;2018-09-15;20:00:00;2018-09-15 20:00;0;7,343;6,6;349;0,04
43358,88;2018-09-15;21:00:00;2018-09-15 21:00;0;7,335;6,6;349;0,032
43358,92;2018-09-15;22:00:00;2018-09-15 22:00;0;7,318;6,6;349;0,015
43358,96;2018-09-15;23:00:00;2018-09-15 23:00;0;7,314;6,6;349;0,011
43359,00;2018-09-16;00:00:00;2018-09-16 00:00;0;7,333;6,6;349;0,03
43359,04;2018-09-16;01:00:00;2018-09-16 01:00;0;7,327;6,6;348;0,024
43359,08;2018-09-16;02:00:00;2018-09-16 02:00;0;7,333;6,6;349;0,03
43359,13;2018-09-16;03:00:00;2018-09-16 03:00;0;7,327;6,6;348;0,024
43359,17;2018-09-16;04:00:00;2018-09-16 04:00;0;7,32;6,6;349;0,017
43359,21;2018-09-16;05:00:00;2018-09-16 05:00;0;7,335;6,6;349;0,032
43359,25;2018-09-16;06:00:00;2018-09-16 06:00;0;7,316;6,6;349;0,013
43359,29;2018-09-16;07:00:00;2018-09-16 07:00;0;7,353;6,6;349;0,05
43359,33;2018-09-16;08:00:00;2018-09-16 08:00;0;7,332;6,6;349;0,029
43359,38;2018-09-16;09:00:00;2018-09-16 09:00;0;7,344;6,6;349;0,041
43359,42;2018-09-16;10:00:00;2018-09-16 10:00;0;7,327;6,6;349;0,024
43359,46;2018-09-16;11:00:00;2018-09-16 11:00;0;7,336;6,6;349;0,033
43359,50;2018-09-16;12:00:00;2018-09-16 12:00;0;7,322;6,6;349;0,019
43359,54;2018-09-16;13:00:00;2018-09-16 13:00;0;7,339;6,6;349;0,036
43359,58;2018-09-16;14:00:00;2018-09-16 14:00;0;7,352;6,6;349;0,049
43359,63;2018-09-16;15:00:00;2018-09-16 15:00;0;7,329;6,6;349;0,026
43359,67;2018-09-16;16:00:00;2018-09-16 16:00;0;7,338;6,6;349;0,035
43359,71;2018-09-16;17:00:00;2018-09-16 17:00;0;7,345;6,6;349;0,042
43359,75;2018-09-16;18:00:00;2018-09-16 18:00;0;7,338;6,6;349;0,035
43359,79;2018-09-16;19:00:00;2018-09-16 19:00;0;7,333;6,6;349;0,03
43359,83;2018-09-16;20:00:00;2018-09-16 20:00;0;7,344;6,6;349;0,041
43359,88;2018-09-16;21:00:00;2018-09-16 21:00;0;7,339;6,6;349;0,036
43359,92;2018-09-16;22:00:00;2018-09-16 22:00;0;7,343;6,6;349;0,04
43359,96;2018-09-16;23:00:00;2018-09-16 23:00;0;7,344;6,6;349;0,041
43360,00;2018-09-17;00:00:00;2018-09-17 00:00;0;7,342;6,6;349;0,039
43360,04;2018-09-17;01:00:00;2018-09-17 01:00;0;7,346;6,6;349;0,043
43360,08;2018-09-17;02:00:00;2018-09-17 02:00;0;7,325;6,6;349;0,022
43360,13;2018-09-17;03:00:00;2018-09-17 03:00;0;7,347;6,6;349;0,044
43360,17;2018-09-17;04:00:00;2018-09-17 04:00;0;7,33;6,6;349;0,027
43360,21;2018-09-17;05:00:00;2018-09-17 05:00;0;7,349;6,6;349;0,046
43360,25;2018-09-17;06:00:00;2018-09-17 06:00;0;7,336;6,6;349;0,033
43360,29;2018-09-17;07:00:00;2018-09-17 07:00;0;7,33;6,6;349;0,027
43360,33;2018-09-17;08:00:00;2018-09-17 08:00;0;7,348;6,6;349;0,045
43360,38;2018-09-17;09:00:00;2018-09-17 09:00;0;7,343;6,6;349;0,04
43360,42;2018-09-17;10:00:00;2018-09-17 10:00;0;7,343;6,6;349;0,04
43360,46;2018-09-17;11:00:00;2018-09-17 11:00;0;7,351;6,6;349;0,048
43360,50;2018-09-17;12:00:00;2018-09-17 12:00;0;7,34;6,6;349;0,037
43360,54;2018-09-17;13:00:00;2018-09-17 13:00;0;7,343;6,6;349;0,04
43360,58;2018-09-17;14:00:00;2018-09-17 14:00;0;7,346;6,6;349;0,043
43360,63;2018-09-17;15:00:00;2018-09-17 15:00;0;7,327;6,6;350;0,024
43360,67;2018-09-17;16:00:00;2018-09-17 16:00;0;7,356;6,6;349;0,053
43360,71;2018-09-17;17:00:00;2018-09-17 17:00;0;7,333;6,6;349;0,03
43360,75;2018-09-17;18:00:00;2018-09-17 18:00;0;7,342;6,6;350;0,039
43360,79;2018-09-17;19:00:00;2018-09-17 19:00;0;7,338;6,6;350;0,035
43360,83;2018-09-17;20:00:00;2018-09-17 20:00;0;7,356;6,6;350;0,053
43360,88;2018-09-17;21:00:00;2018-09-17 21:00;0;7,352;6,6;350;0,049
43360,92;2018-09-17;22:00:00;2018-09-17 22:00;0;7,338;6,6;350;0,035
43360,96;2018-09-17;23:00:00;2018-09-17 23:00;0;7,348;6,6;350;0,045
43361,00;2018-09-18;00:00:00;2018-09-18 00:00;0;7,344;6,6;350;0,041
43361,04;2018-09-18;01:00:00;2018-09-18 01:00;0;7,344;6,6;350;0,041
43361,08;2018-09-18;02:00:00;2018-09-18 02:00;0;7,347;6,6;350;0,044
43361,13;2018-09-18;03:00:00;2018-09-18 03:00;0;7,355;6,6;349;0,052
43361,17;2018-09-18;04:00:00;2018-09-18 04:00;0;7,338;6,6;350;0,035
43361,21;2018-09-18;05:00:00;2018-09-18 05:00;0;7,346;6,6;350;0,043
43361,25;2018-09-18;06:00:00;2018-09-18 06:00;0;7,349;6,6;350;0,046
43361,29;2018-09-18;07:00:00;2018-09-18 07:00;0;7,357;6,6;350;0,054
43361,33;2018-09-18;08:00:00;2018-09-18 08:00;0;7,364;6,6;350;0,061
43361,38;2018-09-18;09:00:00;2018-09-18 09:00;0;7,357;6,6;349;0,054
43361,42;2018-09-18;10:00:00;2018-09-18 10:00;0;7,354;6,6;349;0,051
43361,46;2018-09-18;11:00:00;2018-09-18 11:00;0;7,366;6,6;349;0,063
43361,50;2018-09-18;12:00:00;2018-09-18 12:00;0;7,342;6,6;350;0,039
43361,54;2018-09-18;13:00:00;2018-09-18 13:00;0;7,36;6,6;349;0,057
43361,58;2018-09-18;14:00:00;2018-09-18 14:00;0;7,35;6,6;350;0,047
43361,63;2018-09-18;15:00:00;2018-09-18 15:00;0;7,334;6,6;350;0,031
43361,67;2018-09-18;16:00:00;2018-09-18 16:00;0;7,356;6,6;350;0,053
43361,71;2018-09-18;17:00:00;2018-09-18 17:00;0;7,363;6,6;350;0,06
43361,75;2018-09-18;18:00:00;2018-09-18 18:00;0;7,365;6,6;350;0,062
