Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CONDUCTIVITY;relative level
43356,50;2018-09-13;12:00:00;2018-09-13 12:00;0;4,369;6,6;108;0
43356,54;2018-09-13;13:00:00;2018-09-13 13:00;0;4,362;6,5;110;-0,007
43356,58;2018-09-13;14:00:00;2018-09-13 14:00;0;4,377;6,5;110;0,008
43356,63;2018-09-13;15:00:00;2018-09-13 15:00;0;4,365;6,5;111;-0,004
43356,67;2018-09-13;16:00:00;2018-09-13 16:00;0;4,363;6,5;112;-0,006
43356,71;2018-09-13;17:00:00;2018-09-13 17:00;0;4,352;6,5;112;-0,017
43356,75;2018-09-13;18:00:00;2018-09-13 18:00;0;4,351;6,5;112;-0,018
43356,79;2018-09-13;19:00:00;2018-09-13 19:00;0;4,372;6,5;112;0,003
43356,83;2018-09-13;20:00:00;2018-09-13 20:00;0;4,359;6,5;113;-0,01
43356,88;2018-09-13;21:00:00;2018-09-13 21:00;0;4,355;6,5;113;-0,014
43356,92;2018-09-13;22:00:00;2018-09-13 22:00;0;4,346;6,5;113;-0,023
43356,96;2018-09-13;23:00:00;2018-09-13 23:00;0;4,365;6,5;112;-0,004
43357,00;2018-09-14;00:00:00;2018-09-14 00:00;0;4,367;6,5;112;-0,002
43357,04;2018-09-14;01:00:00;2018-09-14 01:00;0;4,358;6,5;111;-0,011
43357,08;2018-09-14;02:00:00;2018-09-14 02:00;0;4,367;6,5;111;-0,002
43357,13;2018-09-14;03:00:00;2018-09-14 03:00;0;4,371;6,5;112;0,002
43357,17;2018-09-14;04:00:00;2018-09-14 04:00;0;4,368;6,5;111;-0,001
43357,21;2018-09-14;05:00:00;2018-09-14 05:00;0;4,357;6,5;111;-0,012
43357,25;2018-09-14;06:00:00;2018-09-14 06:00;0;4,383;6,5;111;0,014
43357,29;2018-09-14;07:00:00;2018-09-14 07:00;0;4,367;6,5;111;-0,002
43357,33;2018-09-14;08:00:00;2018-09-14 08:00;0;4,372;6,5;111;0,003
43357,38;2018-09-14;09:00:00;2018-09-14 09:00;0;4,388;6,5;111;0,019
43357,42;2018-09-14;10:00:00;2018-09-14 10:00;0;4,374;6,5;111;0,005
43357,46;2018-09-14;11:00:00;2018-09-14 11:00;0;4,371;6,5;111;0,002
43357,50;2018-09-14;12:00:00;2018-09-14 12:00;0;4,37;6,5;111;0,001
43357,54;2018-09-14;13:00:00;2018-09-14 13:00;0;4,37;6,5;111;0,001
43357,58;2018-09-14;14:00:00;2018-09-14 14:00;0;4,379;6,5;111;0,01
43357,63;2018-09-14;15:00:00;2018-09-14 15:00;0;4,394;6,5;111;0,025
43357,67;2018-09-14;16:00:00;2018-09-14 16:00;0;4,349;6,5;111;-0,02
43357,71;2018-09-14;17:00:00;2018-09-14 17:00;0;4,378;6,5;111;0,009
43357,75;2018-09-14;18:00:00;2018-09-14 18:00;0;4,382;6,5;111;0,013
43357,79;2018-09-14;19:00:00;2018-09-14 19:00;0;4,365;6,5;111;-0,004
43357,83;2018-09-14;20:00:00;2018-09-14 20:00;0;4,379;6,5;111;0,01
43357,88;2018-09-14;21:00:00;2018-09-14 21:00;0;4,401;6,5;111;0,032
43357,92;2018-09-14;22:00:00;2018-09-14 22:00;0;4,393;6,5;111;0,024
43357,96;2018-09-14;23:00:00;2018-09-14 23:00;0;4,372;6,5;111;0,003
43358,00;2018-09-15;00:00:00;2018-09-15 00:00;0;4,394;6,5;111;0,025
43358,04;2018-09-15;01:00:00;2018-09-15 01:00;0;4,373;6,5;111;0,004
43358,08;2018-09-15;02:00:00;2018-09-15 02:00;0;4,392;6,5;111;0,023
