Område- och stationsnummer;Stationens namn;Datum för mätning;Grundvattennivå (cm u. röröverkant);Grundvattennivå (m ö.h.);Grundvattennivå (m under markyta);Startdatum för mätning;Slutdatum för mätning;Jordart;Akvifertyp;Topografiskt läge;Referensnivå för röröverkant (m ö.h.);Rörhöjd ovan mark (m);Total rörlängd (m);Metod för mätning;Kommunkod;EUCD för grundvattenförekomst;N;E;Nivåmätningskvalitet
15_9;Herrljunga_9;1970-12-22 00:00;215.00;145.47;1.05;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1970-12-30 00:00;229.00;145.33;1.19;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-01-16 00:00;241.00;145.21;1.31;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-01-30 00:00;227.00;145.35;1.17;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-02-17 00:00;236.00;145.26;1.26;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-03-01 00:00;243.00;145.19;1.33;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-03-14 00:00;265.00;144.97;1.55;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-04-03 00:00;219.00;145.43;1.09;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-04-18 00:00;225.00;145.37;1.15;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
15_9;Herrljunga_9;1971-05-02 00:00;233.00;145.29;1.23;1970-12-22;;grus eller grövre;jord , öppet magasin;intermediärt område;147.62;1.10;4.40;klucklod;1466;WA99630390;6434261;389284;utan avvikelser från naturliga tidsvariationer
